year,pollutant,industry,emission_value
1990,Benzene,"Agriculture, forestry and fishing",0.468
1990,Benzene,"Arts, entertainment and recreation",0.142
1990,Benzene,Construction,1.683
1990,Benzene,Education,7.80E-02
1990,Benzene,"Electricity, gas, steam and air conditioning supply",0.544
1990,Benzene,Financial and insurance activities,5.10E-02
1990,Benzene,Human health and social work activities,0.148
1990,Benzene,Information and communication,0.316
1990,Benzene,Manufacturing,7.156
1990,Benzene,Mining and quarrying,0.835
1990,Benzene,Other service activities,0.158
1990,Benzene,"Professional, scientific and technical activities",0.574
1990,Benzene,Public administration and defence; compulsory social security,1.148
1990,Benzene,Real estate activities,0.136
1990,Benzene,Transport and storage,4.351
1990,Benzene,"Water supply; sewerage, waste management and remediation activities",1.321
1990,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,2.809
1991,Benzene,"Agriculture, forestry and fishing",0.471
1991,Benzene,"Arts, entertainment and recreation",0.144
1991,Benzene,Construction,1.659
1991,Benzene,Education,0.08
1991,Benzene,"Electricity, gas, steam and air conditioning supply",0.541
1991,Benzene,Financial and insurance activities,5.10E-02
1991,Benzene,Human health and social work activities,0.151
1991,Benzene,Information and communication,0.32
1991,Benzene,Manufacturing,7.323
1991,Benzene,Mining and quarrying,0.815
1991,Benzene,Other service activities,0.159
1991,Benzene,"Professional, scientific and technical activities",0.58
1991,Benzene,Public administration and defence; compulsory social security,1.167
1991,Benzene,Real estate activities,0.136
1991,Benzene,Transport and storage,4.624
1991,Benzene,"Water supply; sewerage, waste management and remediation activities",1.32
1991,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,2.809
1992,Benzene,"Agriculture, forestry and fishing",0.466
1992,Benzene,"Arts, entertainment and recreation",0.139
1992,Benzene,Construction,1.558
1992,Benzene,Education,7.90E-02
1992,Benzene,"Electricity, gas, steam and air conditioning supply",0.532
1992,Benzene,Financial and insurance activities,4.90E-02
1992,Benzene,Human health and social work activities,0.147
1992,Benzene,Information and communication,0.309
1992,Benzene,Manufacturing,7.332
1992,Benzene,Mining and quarrying,0.787
1992,Benzene,Other service activities,0.152
1992,Benzene,"Professional, scientific and technical activities",0.56
1992,Benzene,Public administration and defence; compulsory social security,1.162
1992,Benzene,Real estate activities,0.129
1992,Benzene,Transport and storage,4.486
1992,Benzene,"Water supply; sewerage, waste management and remediation activities",1.309
1992,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,2.707
1993,Benzene,"Agriculture, forestry and fishing",0.443
1993,Benzene,"Arts, entertainment and recreation",0.134
1993,Benzene,Construction,1.466
1993,Benzene,Education,7.20E-02
1993,Benzene,"Electricity, gas, steam and air conditioning supply",0.527
1993,Benzene,Financial and insurance activities,4.70E-02
1993,Benzene,Human health and social work activities,0.138
1993,Benzene,Information and communication,0.292
1993,Benzene,Manufacturing,7.122
1993,Benzene,Mining and quarrying,0.882
1993,Benzene,Other service activities,0.144
1993,Benzene,"Professional, scientific and technical activities",0.53
1993,Benzene,Public administration and defence; compulsory social security,1.139
1993,Benzene,Real estate activities,0.121
1993,Benzene,Transport and storage,4.27
1993,Benzene,"Water supply; sewerage, waste management and remediation activities",1.32
1993,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,2.568
1994,Benzene,"Agriculture, forestry and fishing",0.431
1994,Benzene,"Arts, entertainment and recreation",0.131
